date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:51:07	82775/82775	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2003:51:04%20GMT	https://10web-site.ai/49/nice-malamute/	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/nice-malamute/index.html	(from )
03:51:08	2292/2292	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2003:51:05%20GMT	https://10web-site.ai/robots.txt		(from )
03:51:09	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2005%20May%202023%2003:51:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/VitalAi/www.googletagmanager.com/gtm.15445.delayed	(from https://10web-site.ai/49/nice-malamute/)
03:51:09	367483/367483	---M--	200	added ('OK')	image/png	etag:%226453bfd6-59b7b%22	https://10web-site.ai/49/wp-content/plugins/ai-builder-demo-plugin/assets/images/share_banner.png	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-content/plugins/ai-builder-demo-plugin/assets/images/share_banner.png	(from https://10web-site.ai/49/nice-malamute/)
03:51:09	8775/8775	---MCZ	200	added ('OK')	text/css	etag:W/%22643955bb-2247%22	https://10web-site.ai/49/wp-content/plugins/tenweb-builder/includes/PreviewUpgrade/assets/style/preview_upgrade.css?ver=1.3.305	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-content/plugins/tenweb-builder/includes/PreviewUpgrade/assets/style/preview_upgrade876f.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:10	97517/97517	---MCZ	200	added ('OK')	text/css	etag:W/%226436b8a1-17ced%22	https://10web-site.ai/49/wp-includes/css/dist/block-library/style.min.css?ver=6.2	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-includes/css/dist/block-library/style.minae48.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:10	291/291	---MCZ	200	added ('OK')	text/css	etag:W/%226436b8a1-123%22	https://10web-site.ai/49/wp-includes/css/classic-themes.min.css?ver=6.2	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-includes/css/classic-themes.minae48.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:11	4017/4017	---MCZ	200	added ('OK')	text/css	etag:W/%22eae5c1b7e6078122b7a88e18a7a02e94%22	https://embed.typeform.com/next/css/popover.css?ver=6.2	C:/My%20Web%20Sites/VitalAi/embed.typeform.com/next/css/popoverae48.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:11	22060/22060	---MCZ	200	added ('OK')	text/css	etag:W/%226453bfd6-562c%22	https://10web-site.ai/49/wp-content/plugins/ai-builder-demo-plugin/assets/css/main.css?ver=1.0.17	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-content/plugins/ai-builder-demo-plugin/assets/css/main5bf7.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:12	19765/19765	---MCZ	200	added ('OK')	text/css	etag:W/%226436b8dc-4d35%22	https://10web-site.ai/49/wp-content/themes/tenweb-website-builder-theme/assets/css/styles.min.css?ver=2.1.2	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-content/themes/tenweb-website-builder-theme/assets/css/styles.min431f.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:12	19363/19363	---MCZ	200	added ('OK')	text/css	etag:W/%226436b8d7-4ba3%22	https://10web-site.ai/49/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:12	9921/9921	---MCZ	200	added ('OK')	text/css	etag:W/%226436b8d7-26c1%22	https://10web-site.ai/49/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.12.1	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-content/plugins/elementor/assets/css/frontend-legacy.minfb6f.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:13	132562/132562	---MCZ	200	added ('OK')	text/css	etag:W/%226436b8d7-205d2%22	https://10web-site.ai/49/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.12.1	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-content/plugins/elementor/assets/css/frontend.minfb6f.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:13	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%226436b8d7-4057%22	https://10web-site.ai/49/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:13	1287/1287	---MCZ	200	added ('OK')	text/css	etag:W/%22645475d1-507%22	https://10web-site.ai/49/wp-content/uploads/sites/52/elementor/css/post-9277.css?ver=1683256785	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-content/uploads/sites/52/elementor/css/post-9277b716.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:14	283621/283621	---MCZ	200	added ('OK')	text/css	etag:W/%22643955bb-453e5%22	https://10web-site.ai/49/wp-content/plugins/tenweb-builder/assets/frontend/css/frontend.css?ver=1.3.305	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-content/plugins/tenweb-builder/assets/frontend/css/frontend876f.css	(from https://10web-site.ai/49/nice-malamute/)
03:51:14	310/310	---MCZ	200	added ('OK')	text/css	etag:W/%22643955bb-136%22	https://10web-site.ai/49/wp-content/plugins/tenweb-builder/assets/frontend/css/global_frontend.css?ver=1.3.305	C:/My%20Web%20Sites/VitalAi/10web-site.ai/49/wp-content/plugins/tenweb-builder/assets/frontend/css/global_frontend876f.css	(from https://10web-site.ai/49/nice-malamute/)
